"","name","longitude","latitude","issues","prov","key","scientificName","datasetKey","publishingOrgKey","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","hostingOrganizationKey","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","coordinateUncertaintyInMeters","stateProvince","year","month","day","eventDate","modified","lastInterpreted","references","license","isInCluster","inCluster","geodeticDatum","class","countryCode","country","rightsHolder","identifier","http://unknown.org/nick","verbatimEventDate","datasetName","gbifID","verbatimLocality","collectionCode","occurrenceID","taxonID","recordedBy","catalogNumber","institutionCode","eventTime","identifiedBy","http://unknown.org/captive","identificationID","occurrenceRemarks","informationWithheld","reproductiveCondition","identificationRemarks","projectId","individualCount","elevation","recordNumber","habitat","associatedTaxa","http://unknown.org/recordId","locality","county","otherCatalogNumbers","rights","startDayOfYear","verbatimElevation","collectionID","http://unknown.org/recordID","dataGeneralizations","accessRights","higherClassification","institutionKey","collectionKey","institutionID","http://unknown.org/recordEnteredBy","sampleSizeUnit","sampleSizeValue","identificationReferences","eventID","georeferenceProtocol","samplingEffort","footprintWKT","georeferenceRemarks","locationRemarks","locationID","nameAccordingToID","samplingProtocol","municipality","elevationAccuracy","networkKeys","continent","higherGeography","endDayOfYear","type","georeferencedBy","georeferenceVerificationStatus","georeferenceSources","lifeStage","vernacularName"
"1","Asclepias speciosa Torr.","-109.547691","38.568428","cdround,cudc,osiic","gbif","2974330710","Asclepias speciosa Torr.","7a3679ef-5582-4aaa-81f0-8c2545cafc81","da86174a-a605-43a4-a5e8-53d484152cd3","fe1a98a6-82b8-4652-86d6-d0f938207f67","FR","DWC_ARCHIVE","2021-11-20T15:33:42.683+00:00","2022-01-29T19:33:28.736+00:00","22","da86174a-a605-43a4-a5e8-53d484152cd3","HUMAN_OBSERVATION","PRESENT","3170260","6","7707728","220","412","6701","3170229","3170260","3170260","Asclepias speciosa Torr.","Plantae","Tracheophyta","Gentianales","Apocynaceae","Asclepias","Asclepias speciosa","Asclepias","speciosa","SPECIES","ACCEPTED","NE",NA,"NA",NA,"2020","5","29","18411",NA,"2022-01-29T19:33:28.736+00:00","https://identify.plantnet.org/observation/namerica/1006866860","http://creativecommons.org/licenses/by/4.0/legalcode","FALSE","FALSE","WGS84","Magnoliopsida","US","United States of America",NA,"o-1006866860",NA,NA,NA,"2974330710",NA,NA,"o-1006866860",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observations","1","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Asclepias speciosa Torr.","-122.036982","37.923442","cdround,cudc,osiic","gbif","2975284727","Asclepias speciosa Torr.","14d5676a-2c54-4f94-9023-1e8dcd822aa0","da86174a-a605-43a4-a5e8-53d484152cd3","fe1a98a6-82b8-4652-86d6-d0f938207f67","FR","DWC_ARCHIVE","2021-11-20T15:33:42.330+00:00","2022-01-29T13:04:33.941+00:00","22","da86174a-a605-43a4-a5e8-53d484152cd3","HUMAN_OBSERVATION","PRESENT","3170260","6","7707728","220","412","6701","3170229","3170260","3170260","Asclepias speciosa Torr.","Plantae","Tracheophyta","Gentianales","Apocynaceae","Asclepias","Asclepias speciosa","Asclepias","speciosa","SPECIES","ACCEPTED","NE",NA,"65",NA,"2020","5","26","18408",NA,"2022-01-29T13:04:33.941+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","FALSE","FALSE","WGS84","Magnoliopsida","US","United States of America",NA,"q-10177601284",NA,NA,NA,"2975284727",NA,NA,"q-10177601284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"queries","1","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Asclepias speciosa Torr.","-108.372378","39.101589","cdround,cudc,osiic","gbif","2975320558","Asclepias speciosa Torr.","14d5676a-2c54-4f94-9023-1e8dcd822aa0","da86174a-a605-43a4-a5e8-53d484152cd3","fe1a98a6-82b8-4652-86d6-d0f938207f67","FR","DWC_ARCHIVE","2021-11-20T15:33:42.330+00:00","2022-01-29T13:04:41.017+00:00","22","da86174a-a605-43a4-a5e8-53d484152cd3","HUMAN_OBSERVATION","PRESENT","3170260","6","7707728","220","412","6701","3170229","3170260","3170260","Asclepias speciosa Torr.","Plantae","Tracheophyta","Gentianales","Apocynaceae","Asclepias","Asclepias speciosa","Asclepias","speciosa","SPECIES","ACCEPTED","NE",NA,"9.5",NA,"2020","5","30","18412",NA,"2022-01-29T13:04:41.017+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","FALSE","FALSE","WGS84","Magnoliopsida","US","United States of America",NA,"q-10180533245",NA,NA,NA,"2975320558",NA,NA,"q-10180533245",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"queries","1","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Asclepias speciosa Torr.","-106.433538","35.327781","cdround,cudc,osiic","gbif","2975410772","Asclepias speciosa Torr.","14d5676a-2c54-4f94-9023-1e8dcd822aa0","da86174a-a605-43a4-a5e8-53d484152cd3","fe1a98a6-82b8-4652-86d6-d0f938207f67","FR","DWC_ARCHIVE","2021-11-20T15:33:42.330+00:00","2022-01-29T13:05:42.986+00:00","22","da86174a-a605-43a4-a5e8-53d484152cd3","HUMAN_OBSERVATION","PRESENT","3170260","6","7707728","220","412","6701","3170229","3170260","3170260","Asclepias speciosa Torr.","Plantae","Tracheophyta","Gentianales","Apocynaceae","Asclepias","Asclepias speciosa","Asclepias","speciosa","SPECIES","ACCEPTED","NE",NA,"NA",NA,"2020","5","16","18398",NA,"2022-01-29T13:05:42.986+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","FALSE","FALSE","WGS84","Magnoliopsida","US","United States of America",NA,"q-10167942494",NA,NA,NA,"2975410772",NA,NA,"q-10167942494",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"queries","1","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Asclepias speciosa Torr.","-97.579405","35.506631","cdround,cudc,osiic","gbif","2975545291","Asclepias speciosa Torr.","14d5676a-2c54-4f94-9023-1e8dcd822aa0","da86174a-a605-43a4-a5e8-53d484152cd3","fe1a98a6-82b8-4652-86d6-d0f938207f67","FR","DWC_ARCHIVE","2021-11-20T15:33:42.330+00:00","2022-01-29T13:04:40.783+00:00","22","da86174a-a605-43a4-a5e8-53d484152cd3","HUMAN_OBSERVATION","PRESENT","3170260","6","7707728","220","412","6701","3170229","3170260","3170260","Asclepias speciosa Torr.","Plantae","Tracheophyta","Gentianales","Apocynaceae","Asclepias","Asclepias speciosa","Asclepias","speciosa","SPECIES","ACCEPTED","NE",NA,"12",NA,"2020","5","28","18410",NA,"2022-01-29T13:04:40.783+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","FALSE","FALSE","WGS84","Magnoliopsida","US","United States of America",NA,"q-10179121510",NA,NA,NA,"2975545291",NA,NA,"q-10179121510",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"queries","1","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Asclepias speciosa Torr.","-122.298611","41.285556","cdround,cudc,osiic","gbif","2975608203","Asclepias speciosa Torr.","14d5676a-2c54-4f94-9023-1e8dcd822aa0","da86174a-a605-43a4-a5e8-53d484152cd3","fe1a98a6-82b8-4652-86d6-d0f938207f67","FR","DWC_ARCHIVE","2021-11-20T15:33:42.330+00:00","2022-01-29T13:05:44.421+00:00","22","da86174a-a605-43a4-a5e8-53d484152cd3","HUMAN_OBSERVATION","PRESENT","3170260","6","7707728","220","412","6701","3170229","3170260","3170260","Asclepias speciosa Torr.","Plantae","Tracheophyta","Gentianales","Apocynaceae","Asclepias","Asclepias speciosa","Asclepias","speciosa","SPECIES","ACCEPTED","NE",NA,"NA",NA,"2020","5","28","18410",NA,"2022-01-29T13:05:44.421+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","FALSE","FALSE","WGS84","Magnoliopsida","US","United States of America",NA,"q-10178932986",NA,NA,NA,"2975608203",NA,NA,"q-10178932986",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"queries","1","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Asclepias speciosa Torr.","-97.899886","36.278028","cdround,cudc,osiic","gbif","2976858211","Asclepias speciosa Torr.","14d5676a-2c54-4f94-9023-1e8dcd822aa0","da86174a-a605-43a4-a5e8-53d484152cd3","fe1a98a6-82b8-4652-86d6-d0f938207f67","FR","DWC_ARCHIVE","2021-11-20T15:33:42.330+00:00","2022-01-29T13:04:38.250+00:00","22","da86174a-a605-43a4-a5e8-53d484152cd3","HUMAN_OBSERVATION","PRESENT","3170260","6","7707728","220","412","6701","3170229","3170260","3170260","Asclepias speciosa Torr.","Plantae","Tracheophyta","Gentianales","Apocynaceae","Asclepias","Asclepias speciosa","Asclepias","speciosa","SPECIES","ACCEPTED","NE",NA,"NA",NA,"2020","5","24","18406",NA,"2022-01-29T13:04:38.250+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","FALSE","FALSE","WGS84","Magnoliopsida","US","United States of America",NA,"q-10175989050",NA,NA,NA,"2976858211",NA,NA,"q-10175989050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"queries","1","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Asclepias speciosa Torr.","-122.333594","40.533669","cdround,cudc,osiic","gbif","2976891619","Asclepias speciosa Torr.","14d5676a-2c54-4f94-9023-1e8dcd822aa0","da86174a-a605-43a4-a5e8-53d484152cd3","fe1a98a6-82b8-4652-86d6-d0f938207f67","FR","DWC_ARCHIVE","2021-11-20T15:33:42.330+00:00","2022-01-29T13:04:30.688+00:00","22","da86174a-a605-43a4-a5e8-53d484152cd3","HUMAN_OBSERVATION","PRESENT","3170260","6","7707728","220","412","6701","3170229","3170260","3170260","Asclepias speciosa Torr.","Plantae","Tracheophyta","Gentianales","Apocynaceae","Asclepias","Asclepias speciosa","Asclepias","speciosa","SPECIES","ACCEPTED","NE",NA,"NA",NA,"2020","5","26","18408",NA,"2022-01-29T13:04:30.688+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","FALSE","FALSE","WGS84","Magnoliopsida","US","United States of America",NA,"q-10177473267",NA,NA,NA,"2976891619",NA,NA,"q-10177473267",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"queries","1","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Asclepias speciosa Torr.","-108.743269","39.159875","cdround,cudc,osiic","gbif","2977373256","Asclepias speciosa Torr.","14d5676a-2c54-4f94-9023-1e8dcd822aa0","da86174a-a605-43a4-a5e8-53d484152cd3","fe1a98a6-82b8-4652-86d6-d0f938207f67","FR","DWC_ARCHIVE","2021-11-20T15:33:42.330+00:00","2022-01-29T13:04:50.469+00:00","22","da86174a-a605-43a4-a5e8-53d484152cd3","HUMAN_OBSERVATION","PRESENT","3170260","6","7707728","220","412","6701","3170229","3170260","3170260","Asclepias speciosa Torr.","Plantae","Tracheophyta","Gentianales","Apocynaceae","Asclepias","Asclepias speciosa","Asclepias","speciosa","SPECIES","ACCEPTED","NE",NA,"5",NA,"2020","5","29","18411",NA,"2022-01-29T13:04:50.469+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","FALSE","FALSE","WGS84","Magnoliopsida","US","United States of America",NA,"q-10179693344",NA,NA,NA,"2977373256",NA,NA,"q-10179693344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"queries","1","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Asclepias speciosa Torr.","-108.04168","39.437851","cdround,cudc,osiic","gbif","2974352859","Asclepias speciosa Torr.","7a3679ef-5582-4aaa-81f0-8c2545cafc81","da86174a-a605-43a4-a5e8-53d484152cd3","fe1a98a6-82b8-4652-86d6-d0f938207f67","FR","DWC_ARCHIVE","2021-11-20T15:33:42.683+00:00","2022-01-29T19:33:30.118+00:00","22","da86174a-a605-43a4-a5e8-53d484152cd3","HUMAN_OBSERVATION","PRESENT","3170260","6","7707728","220","412","6701","3170229","3170260","3170260","Asclepias speciosa Torr.","Plantae","Tracheophyta","Gentianales","Apocynaceae","Asclepias","Asclepias speciosa","Asclepias","speciosa","SPECIES","ACCEPTED","NE",NA,"24.67",NA,"2020","6","18","18431",NA,"2022-01-29T19:33:30.118+00:00","https://identify.plantnet.org/observation/namerica/1007285279","http://creativecommons.org/licenses/by/4.0/legalcode","FALSE","FALSE","WGS84","Magnoliopsida","US","United States of America",NA,"o-1007285279",NA,NA,NA,"2974352859",NA,NA,"o-1007285279",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observations","1","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA
